"Rank","Name","Symbol","marketcap","price (USD)","country"
"208","Japan Metropolitan Fund Investment","8953.T","5689258335","790.965","Japan"
"209","Sanwa Holdings","5929.T","5508540094","25.9979","Japan"
"210","Dentsu","4324.T","5499586260","21.1859","Japan"
"211","SG Holdings","9143.T","5474305756","9.13657","Japan"
"212","Trend Micro","4704.T","5464033241","41.4412","Japan"
"213","Rohm","6963.T","5462171548","14.1494","Japan"
"214","McDonald's Japan","2702.T","5415060749","40.7274","Japan"
"215","Kobe Bussan","3038.T","5346578289","24.156","Japan"
"216","Nissin Foods","2897.T","5326854040","18.5568","Japan"
"217","Nomura Real Estate Holdings","3231.T","5284760245","6.16328","Japan"
"218","HASEKO Corporation","1808.T","5242676891","19.8092","Japan"
"219","Kobe Steel","5406.T","5194571964","13.1997","Japan"
"220","Nippon Express","9147.T","5179021799","21.358","Japan"
"221","Nomura Real Estate Master Fund","3462.T","5126201030","1103.27","Japan"
"222","Isetan Mitsukoshi Holdings","3099.T","5098245570","14.5","Japan"
"223","Brother Industries","6448.T","5004270832","19.8984","Japan"
"224","Ricoh Company","7752.T","4984973474","8.75734","Japan"
"225","Oji Holdings","3861.T","4978068044","5.48258","Japan"
"226","Asahi Intecc","7747.T","4967527783","18.7225","Japan"
"227","Nippon Prologis REIT","3283.T","4967258784","592.108","Japan"
"228","Omron","6645.T","4962849952","25.2395","Japan"
"229","Acom","8572.T","4936575320","3.15111","Japan"
"230","Mazda","7261.T","4900801337","7.76943","Japan"
"231","Skylark Holdings","3197.T","4879280558","21.4472","Japan"
"232","Mitsui Chemicals","4183.T","4804701755","12.76","Japan"
"233","GMO Payment Gateway","3769.T","4715200174","62.1618","Japan"
"234","Hoshizaki Corporation","6465.T","4704636104","33.2256","Japan"
"235","Sumitomo Chemical","4005.T","4650325814","2.84008","Japan"
"236","Nissan Chemical","4021.T","4609572837","34.1817","Japan"
"237","Azbil Corporation","6845.T","4599309929","9.06646","Japan"
"238","Yakult","2267.T","4576372727","15.6058","Japan"
"239","GLP J-REIT","3281.T","4553191587","949.03","Japan"
"240","TOTO","5332.T","4541609162","27.6232","Japan"
"241","KDX Realty Investment","8972.T","4528416083","1121.12","Japan"
"242","Furukawa Electric","5801.T","4488201941","63.7998","Japan"
"243","Tsuruha Holdings","3391.T","4472868145","18.3432","Japan"
"244","Yamato Holdings","9064.T","4458588209","14.0793","Japan"
"245","Iida Group","3291.T","4432111827","16.0392","Japan"
"246","NOF Corporation","4403.T","4387112923","19.1909","Japan"
"247","CyberAgent","4751.T","4322094455","8.52789","Japan"
"248","HORIBA","6856.T","4271959920","101.723","Japan"
"249","Toyo Tire","5105.T","4254879299","27.6296","Japan"
"250","ABC-Mart","2670.T","4192518662","16.9315","Japan"
"251","MISUMI Group","9962.T","4190146122","15.5962","Japan"
"252","Persol Holdings","2181.T","4131964163","1.85217","Japan"
"253","Koei Tecmo","3635.T","4057455534","12.1449","Japan"
"254","Seiko Epson Corporation","6724.T","4049846696","12.6389","Japan"
"255","Sumitomo Rubber Industries","5110.T","4043144687","15.3827","Japan"
"256","NH Foods (Nipponham)","2282.T","4016183773","41.7917","Japan"
"257","COSMOS Pharmaceutical","3349.T","4012444098","50.6256","Japan"
"258","Kyushu Railway Company","9142.T","3990715304","25.9661","Japan"
"259","Koito Manufacturing","7276.T","3937946329","14.723","Japan"
"260","Credit Saison","8253.T","3847944343","26.8201","Japan"
"261","ALSOK","2331.T","3815460589","7.8491","Japan"
"262","Organo Corporation","6368.T","3796783517","82.5701","Japan"
"263","Rohto Pharmaceutical","4527.T","3784867349","16.7498","Japan"
"264","Odakyu Electric Railway","9007.T","3758103589","10.8861","Japan"
"265","Kintetsu GHD","9041.T","3720772836","19.567","Japan"
"266","Amada Co., Ltd.","6113.T","3708705460","11.8039","Japan"
"267","Takasago Thermal Engineering","1969.T","3699155567","28.267","Japan"
"268","Marui Group","8252.T","3694358692","20.5294","Japan"
"269","Nikon","NINOY","3680029184","11.18","Japan"
"270","Tohoku Electric Power","9506.T","3676732554","7.34877","Japan"
"271","Toyo Seikan Group Holdings","5901.T","3666883588","24.3854","Japan"
"272","Hirose Electric","6806.T","3640945205","110.232","Japan"
"273","J-POWER (Electric Power Development)","9513.T","3583663391","20.1597","Japan"
"274","MITSUI E&amp;S","7003.T","3575482722","35.4373","Japan"
"275","Nisshin Seifun Group","2002.T","3527153489","12.2501","Japan"
"276","JTEKT Corporation","6473.T","3520189999","11.0582","Japan"
"277","Rinnai Corporation","5947.T","3484984507","25.2395","Japan"
"278","INFRONEER Holdings","5076.T","3442015210","13.6268","Japan"
"279","Workman","7564.T","3422720567","41.9383","Japan"
"280","Coca-Cola Bottlers Japan","2579.T","3363228908","20.198","Japan"
"281","Maruwa","5344.T","3350160512","271.516","Japan"
"282","BIPROGY","8056.T","3344126198","34.5067","Japan"
"283","Santen Pharmaceutical","4536.T","3333648174","10.3635","Japan"
"284","Mercari","4385.T","3329592091","20.2043","Japan"
"285","Tobu Railway","9001.T","3293144565","16.8295","Japan"
"286","Sega Sammy Holdings","6460.T","3280717340","15.6026","Japan"
"287","NHK Spring","5991.T","3250733317","16.0456","Japan"
"288","Kamigumi","9364.T","3228913881","32.2505","Japan"
"289","TechnoPro Holdings","6028.T","3220726946","30.912","Japan"
"290","Sundrug","9989.T","3210567001","27.4448","Japan"
"291","Sumco Corporation","3436.T","3198514454","9.14613","Japan"
"292","Toyoda Gosei","7282.T","3198039320","25.1311","Japan"
"293","Sharp Corporation","6753.T","3189862409","4.91278","Japan"
"294","Mitsubishi Motors","7211.T","3164680691","2.36461","Japan"
"295","Invincible Investment Corporation","8963.T","3138565830","410.46","Japan"
"296","Yamaha","7951.T","3137561051","6.96317","Japan"
"297","Hamamatsu","6965.T","3134706693","10.5866","Japan"
"298","Internet Initiative Japan Inc.","3774.T","3124459239","17.6262","Japan"
"299","Takashimaya Company","8233.T","3065597890","10.4623","Japan"
"300","Mitsubishi Materials","5711.T","3056786284","23.3911","Japan"
"301","Keio Corporation","9008.T","3050902968","25.8386","Japan"
"302","Hirogin Holdings","7337.T","3018203681","10.0799","Japan"
"303","Nichirei Corporation","2871.T","2980644862","11.8932","Japan"
"304","Kadokawa","9468.T","2966515298","20.2426","Japan"
"305","Metaplanet Inc.","3350.T","2948497775","2.58131","Japan"
"306","JGC Holdings","1963.T","2929553165","12.113","Japan"
"307","NOK Corporation","7240.T","2924549110","17.8971","Japan"
"308","Lion Corp","4912.T","2907644551","10.5101","Japan"
"309","Sumitomo Bakelite Company","4203.T","2887128759","32.9069","Japan"
"310","Nifco Inc.","7988.T","2886777264","30.8738","Japan"
"311","THK Co.","6481.T","2860969830","25.539","Japan"
"312","Nishi-Nippon Financial Holdings","7189.T","2850531697","20.4657","Japan"
"313","Dexerials Corporation","4980.T","2822391822","16.753","Japan"
"314","Taiyo Yuden","6976.T","2821463065","22.5626","Japan"
"315","Chugin Financial Group","5832.T","2799160349","15.746","Japan"
"316","Kansai Paint","4613.T","2777416100","15.7747","Japan"
"317","Toho Gas","9533.T","2762201558","29.7201","Japan"
"318","Taiheiyo Cement","5233.T","2759049379","24.7487","Japan"
"319","Sankyu","9065.T","2737386373","53.8952","Japan"
"320","Resorttrust","4681.T","2653096862","12.5082","Japan"
"321","Japan Airport Terminal","9706.T","2594829901","27.9546","Japan"
"322","KOBAYASHI Pharmaceutical","4967.T","2571821481","34.5959","Japan"
"323","Nagase &amp; Co.","8012.T","2530332516","24.2452","Japan"
"324","Sekisui House Reit","3309.T","2513326455","573.625","Japan"
"325","Mitsui Fudosan Logistics Park","3471.T","2505626141","778.218","Japan"
"326","Rorze Corporation","6323.T","2484893146","14.3279","Japan"
"327","Stanley Electric","6923.T","2480233067","19.618","Japan"
"328","Fuyo General Lease","8424.T","2467658185","27.3619","Japan"
"329","Adeka Corporation","4401.T","2454548437","24.7041","Japan"
"330","Socionext","6526.T","2445536543","13.955","Japan"
"331","TODA corp","1860.T","2431627316","8.06899","Japan"
"332","Nippon Shinyaku","4516.T","2427167943","36.0109","Japan"
"333","Kokuyo","7984.T","2416159230","5.58137","Japan"
"334","Rakus Co., Ltd.","3923.T","2390157148","6.62855","Japan"
"335","AEON Financial Service","8570.T","2387294853","11.0582","Japan"
"336","DMG Mori","6141.T","2381831118","16.8008","Japan"
"337","Nitto Boseki","3110.T","2366796187","65.0108","Japan"
"338","Calbee, Inc.","2229.T","2317110471","19.0571","Japan"
"339","Harmonic Drive Systems","6324.T","2280735626","24.0922","Japan"
"340","Mabuchi Motor","6592.T","2252776407","9.16844","Japan"
"341","Seino Holdings","9076.T","2241733860","15.0162","Japan"
"342","Aozora Bank","8304.T","2212905614","15.9914","Japan"
"343","Yamada Holdings","9831.T","2200578429","3.31109","Japan"
"344","Zeon Corporation","4205.T","2182406566","11.4056","Japan"
"345","Toei Company","9605.T","2174549614","34.7999","Japan"
"346","Keihan Holdings","9045.T","2173075757","21.5364","Japan"
"347","Activia Properties","3279.T","2132517220","897.404","Japan"
"348","The Shiga Bank","8366.T","2117896858","45.7625","Japan"
"349","Meitetsu","9048.T","2101983085","10.7204","Japan"
"350","Maruichi Steel Tube","5463.T","2070092675","9.24811","Japan"
"351","Nankai Electric Railway","9044.T","2061450655","18.9264","Japan"
"352","Dai-Dan","1980.T","2041780290","15.7811","Japan"
"353","Daido Steel","5471.T","2037428265","10.1946","Japan"
"354","North Pacific Bank","8524.T","2034890733","5.40482","Japan"
"355","Fuji Oil Holdings","2607.T","2000818045","23.27","Japan"
"356","Citizen Watch","7762.T","1984345806","8.13272","Japan"
"357","MIRAIT ONE Corporation","1417.T","1980626807","22.3395","Japan"
"358","SWCC Corporation","5805.T","1951205844","65.9031","Japan"
"359","Rengo Co., Ltd.","3941.T","1921628452","7.74712","Japan"
"360","Morinaga Milk Industry","2264.T","1919980832","23.7353","Japan"
"361","Kosé","4922.T","1906152639","33.3977","Japan"
"362","Amano Corporation","6436.T","1905582895","26.8456","Japan"
"363","Seiko Group","8050.T","1896419793","46.3999","Japan"
"364","Nippon Shokubai","4114.T","1888678544","12.7823","Japan"
"365","Sanki Engineering","1961.T","1869398312","36.5845","Japan"
"366","CASIO","6952.T","1845917472","8.09448","Japan"
"367","AEON REIT Investment","3292.T","1839950616","875.096","Japan"
"368","Anritsu Corporation","6754.T","1830941228","14.3056","Japan"
"369","DeNA","2432.T","1803394280","16.1762","Japan"
"370","Mori Hills REIT Investment","3234.T","1791296203","949.668","Japan"
"371","The Hyakugo Bank","8368.T","1772484213","7.30415","Japan"
"372","Meiko Electronics","6787.T","1751675614","68.2613","Japan"
"373","Sotetsu Holdings","9003.T","1723694570","17.9608","Japan"
"374","Money Forward","3994.T","1646238853","29.752","Japan"
"375","Makino Milling Machine","6135.T","1645958262","70.3646","Japan"
"376","JEOL Ltd.","6951.T","1641181854","32.0656","Japan"
"377","Sinfonia Technology","6507.T","1630913307","57.8086","Japan"
"378","Meidensha Corporation","6508.T","1610494213","35.501","Japan"
"379","KATITAS CO., Ltd.","8919.T","1590663347","20.3318","Japan"
"380","Shibaura Mechatronics","6590.T","1584752881","120.716","Japan"
"381","TOMY Company","7867.T","1562098566","17.5752","Japan"
"382","Kagome Co., Ltd.","2811.T","1561306814","17.1832","Japan"
"383","ARE Holdings","5857.T","1560452303","20.3637","Japan"
"384","Nipro Corporation","8086.T","1535352037","9.41382","Japan"
"385","DAIHEN Corporation","6622.T","1522229131","63.6723","Japan"
"386","Starts Corporation","8850.T","1469138214","30.4977","Japan"
"387","Fuso Chemical","4368.T","1431775297","40.5999","Japan"
"388","Okumura Corporation","1833.T","1415196858","39.4526","Japan"
"389","Hino Motors","7205.T","1412271804","2.46021","Japan"
"390","Aica Kogyo Company","4206.T","1403797386","22.4224","Japan"
"391","Wacoal Holdings","3591.T","1390195169","28.1586","Japan"
"392","TS TECH","7313.T","1380905817","11.7338","Japan"
"393","Nextage Co Ltd","3186.T","1377533406","17.623","Japan"
"394","The Bank of Nagoya","8522.T","1365579645","27.7571","Japan"
"395","PeptiDream","4587.T","1364225772","10.5579","Japan"
"396","Glory Ltd.","6457.T","1351074150","25.2459","Japan"
"397","Izumi Co., Ltd.","8273.T","1350559647","19.1208","Japan"
"398","Nishi-Nippon Railroad","9031.T","1345579401","17.8206","Japan"
"399","The Kiyo Bank","8370.T","1331478345","20.778","Japan"
"400","NTT UD REIT Investment Corporation","8956.T","1326205812","894.855","Japan"
"401","Taikisha","1979.T","1322962470","21.001","Japan"
"402","Tokai Carbon","5301.T","1318896571","6.1773","Japan"
"403","Nisshinbo Holdings","3105.T","1305168730","8.3558","Japan"
"404","Hokuriku Electric Power Company","9505.T","1299548149","6.22064","Japan"
"405","The Keiyo Bank","8544.T","1280475618","10.6057","Japan"
"406","Inabata &amp; Co.,Ltd.","8098.T","1274198202","23.8692","Japan"
"407","NTN Corporation","6472.T","1240439312","2.34294","Japan"
"408","Noritsu Koki","7744.T","1238444268","11.8358","Japan"
"409","Sun Corp","6736.T","1232936466","57.2987","Japan"
"410","Pigeon","7956.T","1228730219","10.2711","Japan"
"411","Kissei Pharmaceutical","4547.T","1228541940","29.6373","Japan"
"412","Mitani Corporation","8066.T","1225374098","14.6529","Japan"
"413","Chiyoda Corporation","6366.T","1213983815","4.6846","Japan"
"414","Yurtec Corporation","1934.T","1205227136","17.5465","Japan"
"415","OSG Corporation","6136.T","1197016601","14.5701","Japan"
"416","Takara Standard","7981.T","1193481390","18.5854","Japan"
"417","Aichi Steel","5482.T","1191863426","18.6173","Japan"
"418","Takuma Co., Ltd.","6013.T","1182333061","15.7874","Japan"
"419","Pacific Industrial","7250.T","1179607564","20.6186","Japan"
"420","Sakata Seed","1377.T","1177326395","27.2153","Japan"
"421","Monex Group","8698.T","1171137427","4.65911","Japan"
"422","Orient Corporation","8585.T","1161996672","6.78789","Japan"
"423","ARCS Company Limited","9948.T","1156236474","21.5747","Japan"
"424","Pilot Corporation","7846.T","1155353246","31.0586","Japan"
"425","Ricoh Leasing Company","8566.T","1147344042","37.2219","Japan"
"426","Towa Pharmaceutical","4553.T","1142083936","23.1999","Japan"
"427","freee K.K.","4478.T","1140515157","19.1527","Japan"
"428","Mixi","2121.T","1131604033","17.3808","Japan"
"429","Toagosei","4045.T","1122439156","10.4623","Japan"
"430","Nittetsu Mining","1515.T","1121832028","14.2578","Japan"
"431","Future Corporation","4722.T","1120763445","12.6389","Japan"
"432","Konoike Transport","9025.T","1110070514","20.9054","Japan"
"433","Tokai Tokyo Financial Holdings","8616.T","1101935373","4.37867","Japan"
"434","AS ONE Corporation","7476.T","1094734316","15.3222","Japan"
"435","ARIAKE JAPAN","2815.T","1073817323","33.7164","Japan"
"436","Ohsho Food Service","9936.T","1072675538","20.4911","Japan"
